id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,sentiment,sentiment_probs,emotion,emotion_probs
1395409435347009537,1395409435347009537,2021-05-20 13:01:49 -03,2021-05-20,13:01:49,-300,921390373,icomem_oficial,ICOMEM,,"Desde ICOMEM hacemos un llamamiento a la responsabilidad. 

Son días de disfrutar del fútbol pero nunca sin olvidar el sentido común. 
Estamos cerca de volver a disfrutar del fútbol con toda la pasión pero de momento hagámoslo con cabeza. 

#LibertadResponsable #ConCabeza https://t.co/k9Q800L6yn",es,[],[],[],0,3,3,"['libertadresponsable', 'concabeza']",[],https://twitter.com/Icomem_Oficial/status/1395409435347009537,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1395409358029209602/pu/img/6_8P4kbd9VTIxSOH.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,,NEU,"{'NEG': 0.0046110088005661964, 'NEU': 0.7690466046333313, 'POS': 0.22634242475032806}",others,"{'others': 0.9191496968269348, 'joy': 0.06920398771762848, 'sadness': 0.003344731405377388, 'anger': 0.003394078928977251, 'surprise': 0.002930594375357032, 'disgust': 0.0009325589635409415, 'fear': 0.0010442885104566813}"
1395404109646286849,1395395853863596033,2021-05-20 12:40:39 -03,2021-05-20,12:40:39,-300,403802054,henrynoboaa,Henry Noboa A,,@LuisLacallePou @MatiasBarreto_ @AlfieIsaac #Uruguay 🇺🇾🌿La única métrica en todas las áreas es la regla de oro a seguir con entereza que se denomina #LibertadResponsable en ella se basan y fundamentan los principios de rectitud y sentido de servicio por el país.,es,"['luislacallepou', 'matiasbarreto_', 'alfieisaac']",[],[],0,0,0,"['uruguay', 'libertadresponsable']",[],https://twitter.com/HenryNoboaA/status/1395404109646286849,,,0,,,,,,,,"{'user_id': '189861728', 'username': 'LuisLacallePou'}",,,,,NEU,"{'NEG': 0.005753258243203163, 'NEU': 0.9641278982162476, 'POS': 0.030118834227323532}",others,"{'others': 0.9095593094825745, 'joy': 0.07871028035879135, 'sadness': 0.0024321263190358877, 'anger': 0.004738745279610157, 'surprise': 0.0026521054096519947, 'disgust': 0.0013693183427676558, 'fear': 0.0005380150978453457}"
1395039242057814018,1395039242057814018,2021-05-19 12:30:48 -03,2021-05-19,12:30:48,-300,403802054,henrynoboaa,Henry Noboa A,,"🌿🇺🇾✨#Uruguay de vacuna 💉,muchas gracias al gobierno de #Uruguay @LuisLacallePou @MSPUruguay @antelarena por la inédita oportunidad que se nos brinda a todos los ciudadanos y residentes para acceder a la #VacunaCOVID19.
Corresponderemos con #libertadresponsable 🙌✨💐 https://t.co/Ugd8m2vmt8",es,"['luislacallepou', 'mspuruguay', 'antelarena']",[],"['https://pbs.twimg.com/media/E1wsyP3XEAUDnuE.jpg', 'https://pbs.twimg.com/media/E1wsyP4WYAURT_l.jpg']",0,0,0,"['uruguay', 'uruguay', 'vacunacovid19', 'libertadresponsable']",[],https://twitter.com/HenryNoboaA/status/1395039242057814018,,,1,https://pbs.twimg.com/media/E1wsyP3XEAUDnuE.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,,NEU,"{'NEG': 0.00474424147978425, 'NEU': 0.9087733626365662, 'POS': 0.08648232370615005}",joy,"{'others': 0.05343640595674515, 'joy': 0.9416730403900146, 'sadness': 0.0009761184337548912, 'anger': 0.0006323265843093395, 'surprise': 0.002266907598823309, 'disgust': 0.0005942442221567035, 'fear': 0.0004209633043501526}"
1394746637772369922,1394746637772369922,2021-05-18 17:08:06 -03,2021-05-18,17:08:06,-300,22591839,toti_okey,toti,,"Siempre tendremos aquellos con la “viveza criolla,” q no es nada mas q cagarse en el otro xq puede. Al menos durante esta pandemia así parecería ser #libertadresponsable ? 🇺🇾",es,[],[],[],0,0,1,['libertadresponsable'],[],https://twitter.com/toti_okey/status/1394746637772369922,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,,NEG,"{'NEG': 0.982720136642456, 'NEU': 0.016420552507042885, 'POS': 0.0008592322701588273}",anger,"{'others': 0.12193397432565689, 'joy': 0.0037793596275150776, 'sadness': 0.021456923335790634, 'anger': 0.652658998966217, 'surprise': 0.011714489199221134, 'disgust': 0.1787346750497818, 'fear': 0.009721576236188412}"
1394717442627317766,1394717442627317766,2021-05-18 15:12:05 -03,2021-05-18,15:12:05,-300,1380879234,pereiraarbiza,Julio Pereira,,Regresaron a #Uruguay los niños de la calle #libertadresponsable,es,[],[],[],0,0,0,"['uruguay', 'libertadresponsable']",[],https://twitter.com/pereiraarbiza/status/1394717442627317766,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,,NEG,"{'NEG': 0.6823519468307495, 'NEU': 0.31012439727783203, 'POS': 0.00752374529838562}",others,"{'others': 0.553725004196167, 'joy': 0.42576953768730164, 'sadness': 0.005057762376964092, 'anger': 0.002845627721399069, 'surprise': 0.008268559351563454, 'disgust': 0.002119024284183979, 'fear': 0.0022144413087517023}"
1394072659667849216,1394072659667849216,2021-05-16 20:29:57 -03,2021-05-16,20:29:57,-300,287267259,romulomchenlo,RómuloMartínezChenlo,,"Mi ciudad, #Florida , esta conmovida:hoy hubo 5 muertes por covid. Madres, padres con hijos chicos. Ya está.Cientos de miles de nosotros, hemos dado todo con la #LibertadResponsable para cuidar al #MallaOro Nosotros nos cuidamos solos, pero es el estado quien lo debe resolver https://t.co/GAkrevQ2wE",es,[],[],['https://pbs.twimg.com/media/E1i9sc0XsAA9sbm.jpg'],1,21,59,"['florida', 'libertadresponsable', 'mallaoro']",[],https://twitter.com/RomuloMChenlo/status/1394072659667849216,,,1,https://pbs.twimg.com/media/E1i9sc0XsAA9sbm.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,,NEU,"{'NEG': 0.3870503902435303, 'NEU': 0.6048898100852966, 'POS': 0.008059825748205185}",sadness,"{'others': 0.004531282931566238, 'joy': 0.002471184590831399, 'sadness': 0.98069828748703, 'anger': 0.00669338321313262, 'surprise': 0.0011945189908146858, 'disgust': 0.001900332747027278, 'fear': 0.0025109690614044666}"
1394030858600910854,1394025950728314889,2021-05-16 17:43:51 -03,2021-05-16,17:43:51,-300,1167729298855342080,farmaciag2,FarmaciaG2 🚫lucros,,Como sanitarios de “segunda” no podemos aprobar el botellón con o sin pandemia. Eso si; demos recursos y opciones para q los jóvenes se diviertan de forma segura! #stopbotellon #botellon #responsabilidaddetodos #libertadresponsable #portodos #undiamadundiamenos @FarmaciaG2,es,['farmaciag2'],[],[],1,3,18,"['stopbotellon', 'botellon', 'responsabilidaddetodos', 'libertadresponsable', 'portodos', 'undiamadundiamenos']",[],https://twitter.com/FarmaciaG2/status/1394030858600910854,,,0,,,,,,,,"{'user_id': '1167729298855342080', 'username': 'FarmaciaG2'}",,,,,NEG,"{'NEG': 0.5336956977844238, 'NEU': 0.4465140104293823, 'POS': 0.01979026198387146}",joy,"{'others': 0.29931870102882385, 'joy': 0.31701332330703735, 'sadness': 0.03119099698960781, 'anger': 0.3009644150733948, 'surprise': 0.015540558844804764, 'disgust': 0.031629301607608795, 'fear': 0.004342751111835241}"
1393713683432357888,1393713452003340292,2021-05-15 20:43:30 -03,2021-05-15,20:43:30,-300,1245933048,eltraspi2010,Cristhian,,@_nosoyelena Deje de salir señora y no tendrá contacto #LibertadResponsable,es,[],[],[],1,0,0,['libertadresponsable'],[],https://twitter.com/Eltraspi2010/status/1393713683432357888,,,0,,,,,,,,"{'user_id': '3012886113', 'username': 'SoyLaFuega'}",,,,,NEG,"{'NEG': 0.77903813123703, 'NEU': 0.21099404990673065, 'POS': 0.009967755526304245}",others,"{'others': 0.780983567237854, 'joy': 0.025206057354807854, 'sadness': 0.028700608760118484, 'anger': 0.10876644402742386, 'surprise': 0.018195224925875664, 'disgust': 0.026576925069093704, 'fear': 0.011571223847568035}"
1393546234669977602,1393546234669977602,2021-05-15 09:38:07 -03,2021-05-15,09:38:07,-300,1112928952069378048,letelierarce,CarlosArceLetelier,,"Lo mismo de siempre.  La perrada no entiende que es #LibertadResponsable 
https://t.co/Y8zHCEa0B9 https://t.co/0ALvl4uR5H",es,[],['https://twitter.com/delpynews/status/1393443212077977604?s=09'],['https://pbs.twimg.com/media/E1be6hRWQAcpNZd.jpg'],0,0,2,['libertadresponsable'],[],https://twitter.com/LetelierArce/status/1393546234669977602,,https://twitter.com/delpynews/status/1393443212077977604?s=09,1,https://pbs.twimg.com/media/E1be6hRWQAcpNZd.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,,NEG,"{'NEG': 0.9973819851875305, 'NEU': 0.0018266808474436402, 'POS': 0.0007912443834356964}",anger,"{'others': 0.3716937303543091, 'joy': 0.002176059177145362, 'sadness': 0.008465530350804329, 'anger': 0.5254347920417786, 'surprise': 0.008527305908501148, 'disgust': 0.0766119509935379, 'fear': 0.00709062023088336}"
1393313058013990918,1393309902169333762,2021-05-14 18:11:34 -03,2021-05-14,18:11:34,-300,403802054,henrynoboaa,Henry Noboa A,,"@UNESCO_es @ONU_es @pnud @opsoms @WHO @JoeBiden @netanyahu @LassoGuillermo @EmmanuelMacron @LuisLacallePou Construyendo desde ahora un mundo de arte, belleza y seguridad en todos los niveles,empezando por la salubridad #como principio rector
Posible mediante:
#LibertadResponsable",es,"['unesco_es', 'onu_es', 'pnud', 'opsoms', 'who', 'joebiden', 'netanyahu', 'lassoguillermo', 'emmanuelmacron', 'luislacallepou']",[],[],0,0,0,"['como', 'libertadresponsable']",[],https://twitter.com/HenryNoboaA/status/1393313058013990918,,,0,,,,,,,,"{'user_id': '403802054', 'username': 'HenryNoboaA'}",,,,,NEU,"{'NEG': 0.00444175535812974, 'NEU': 0.6625398397445679, 'POS': 0.3330184519290924}",joy,"{'others': 0.4747876226902008, 'joy': 0.5047430992126465, 'sadness': 0.00475927721709013, 'anger': 0.0038000650238245726, 'surprise': 0.007369618862867355, 'disgust': 0.002151191234588623, 'fear': 0.0023891152814030647}"
